Time(s),NumRequests
0,1492
1,5345
2,5399
3,5324
4,5116
5,5004
6,4923
7,4963
8,5086
9,5012
10,5002
11,4960
12,4989
13,4944
14,4914
15,4982
16,4940
17,4915
18,5096
19,5019
20,5106
21,5167
22,5058
23,4941
24,4987
25,4978
26,5049
27,5075
28,5073
29,5014
30,5074
31,5132
32,5068
33,4954
34,4972
35,4957
36,5129
37,5143
38,4975
39,4946
40,4958
41,4925
42,5025
43,5191
44,5009
45,5022
46,5030
47,5090
48,5003
49,4987
50,4902
51,4894
52,4953
53,4886
54,4956
55,5066
56,4950
57,5003
58,4956
59,5039
60,4921
61,4772
62,4942
63,4985
64,5092
65,5172
66,5110
67,5042
68,5026
69,4951
70,4872
71,4975
72,5043
73,5023
74,5032
75,5045
76,5026
77,5086
78,4998
79,4903
80,4953
81,4897
82,4966
83,5035
84,4983
85,4997
86,5078
87,4952
88,4931
89,4894
90,5046
91,5027
92,4918
93,5008
94,5030
95,4943
96,5033
97,4973
98,4926
99,5043
100,2283
